experiment_id,event,bar,fraction,new_stop,symbol,strategy_version,trade_id,remaining_fraction,stop_before,stop_after,price,reason
baseline,+1R_REACHED,7,,,,,,,,,,
baseline,PARTIAL_TAKEN,7,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,7,,3394.14,,,,,,,,
baseline,+1R_REACHED,4,,,,,,,,,,
baseline,PARTIAL_TAKEN,4,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,4,,3354.75,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,3325.26,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,3281.94,,,,,,,,
baseline,+1R_REACHED,10,,,,,,,,,,
baseline,PARTIAL_TAKEN,10,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,10,,3342.03,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,3318.45,,,,,,,,
baseline,+1R_REACHED,25,,,,,,,,,,
baseline,PARTIAL_TAKEN,25,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,25,,3359.66,,,,,,,,
baseline,+1R_REACHED,12,,,,,,,,,,
baseline,PARTIAL_TAKEN,12,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,12,,3314.26,,,,,,,,
baseline,+1R_REACHED,13,,,,,,,,,,
baseline,PARTIAL_TAKEN,13,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,13,,3307.36,,,,,,,,
baseline,+1R_REACHED,10,,,,,,,,,,
baseline,PARTIAL_TAKEN,10,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,10,,3328.56,,,,,,,,
baseline,+1R_REACHED,9,,,,,,,,,,
baseline,PARTIAL_TAKEN,9,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,9,,3376.47,,,,,,,,
baseline,+1R_REACHED,18,,,,,,,,,,
baseline,PARTIAL_TAKEN,18,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,18,,3651.01,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,3660.57,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,3655.44,,,,,,,,
baseline,+1R_REACHED,22,,,,,,,,,,
baseline,PARTIAL_TAKEN,22,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,22,,3743.35,,,,,,,,
baseline,+1R_REACHED,4,,,,,,,,,,
baseline,PARTIAL_TAKEN,4,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,4,,3807.53,,,,,,,,
baseline,+1R_REACHED,26,,,,,,,,,,
baseline,PARTIAL_TAKEN,26,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,26,,3816.0,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,4078.21,,,,,,,,
baseline,+1R_REACHED,11,,,,,,,,,,
baseline,PARTIAL_TAKEN,11,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,11,,4134.83,,,,,,,,
baseline,+1R_REACHED,4,,,,,,,,,,
baseline,PARTIAL_TAKEN,4,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,4,,4045.55,,,,,,,,
baseline,+1R_REACHED,7,,,,,,,,,,
baseline,PARTIAL_TAKEN,7,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,7,,4589.24,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,5202.95,,,,,,,,
baseline,+1R_REACHED,8,,,,,,,,,,
baseline,PARTIAL_TAKEN,8,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,8,,5066.0,,,,,,,,
baseline,+1R_REACHED,8,,,,,,,,,,
baseline,PARTIAL_TAKEN,8,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,8,,5016.8,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,5010.78,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,5059.2,,,,,,,,
baseline,+1R_REACHED,9,,,,,,,,,,
baseline,PARTIAL_TAKEN,9,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,9,,5168.62,,,,,,,,
baseline,+1R_REACHED,4,,,,,,,,,,
baseline,PARTIAL_TAKEN,4,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,4,,5112.16,,,,,,,,
baseline,+1R_REACHED,18,,,,,,,,,,
baseline,PARTIAL_TAKEN,18,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,18,,4850.79,,,,,,,,
baseline,+1R_REACHED,0,,,,,,,,,,
baseline,PARTIAL_TAKEN,0,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,0,,4562.31,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4682.78,,,,,,,,
baseline,+1R_REACHED,45,,,,,,,,,,
baseline,PARTIAL_TAKEN,45,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,45,,4719.1,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,4813.71,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4790.73,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4534.53,,,,,,,,
baseline,+1R_REACHED,9,,,,,,,,,,
baseline,PARTIAL_TAKEN,9,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,9,,4699.96,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,4559.4,,,,,,,,
baseline,+1R_REACHED,6,,,,,,,,,,
baseline,PARTIAL_TAKEN,6,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,6,,4556.36,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,4529.94,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4505.81,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,4481.34,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4332.28,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,4341.21,,,,,,,,
baseline,+1R_REACHED,11,,,,,,,,,,
baseline,PARTIAL_TAKEN,11,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,11,,4095.3,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,4182.65,,,,,,,,
baseline,+1R_REACHED,1,,,,,,,,,,
baseline,PARTIAL_TAKEN,1,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,1,,4195.51,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,4126.49,,,,,,,,
baseline,+1R_REACHED,2,,,,,,,,,,
baseline,PARTIAL_TAKEN,2,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,2,,4055.64,,,,,,,,
baseline,+1R_REACHED,5,,,,,,,,,,
baseline,PARTIAL_TAKEN,5,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,5,,4071.79,,,,,,,,
baseline,+1R_REACHED,21,,,,,,,,,,
baseline,PARTIAL_TAKEN,21,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,21,,4032.67,,,,,,,,
baseline,+1R_REACHED,3,,,,,,,,,,
baseline,PARTIAL_TAKEN,3,0.5,,,,,,,,,
baseline,BREAK_EVEN_ACTIVATED,3,,3994.93,,,,,,,,
